LoanStatus,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,IncomeRange,TotalProsperLoans,OnTimeProsperPayments,BorrowerState
Current,0.1985,3.0,4.0,2,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,11.0,MN
Current,0.2709,2.0,4.0,6,Professional,Full-time,True,1.0,2469.0,12.0,"$75,000-99,999",3.0,67.0,CA
Current,0.2125,3.0,8.0,1,Laborer,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,12.0,OR
Completed,0.0685,7.0,10.0,7,Other,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,8.0,IL
Current,0.1199,6.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",3.0,20.0,CO
Current,0.1752,5.0,5.0,2,Executive,Employed,True,0.0,0.0,2.0,"$100,000+",1.0,8.0,WI
Current,0.1419,5.0,6.0,1,Clergy,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,1.0,IL
Current,0.1174,5.0,8.0,19,Analyst,Employed,True,20.0,72705.0,72.0,"$75,000-99,999",2.0,4.0,DE
Completed,0.2569,2.0,3.0,1,Professional,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,CA
Current,0.1039,6.0,11.0,1,Investor,Self-employed,True,0.0,0.0,0.0,"$25,000-49,999",3.0,16.0,IL
Completed,0.0999,5.0,8.0,6,Analyst,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,6.0,VA
Past Due (16-30 days),0.2832,2.0,2.0,7,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,6.0,NY
Completed,0.2899,2.0,3.0,1,Professional,Employed,True,0.0,0.0,30.0,"$25,000-49,999",1.0,10.0,GA
Current,0.1839,4.0,6.0,7,Sales - Retail,Employed,False,0.0,0.0,0.0,"$1-24,999",1.0,32.0,GA
Current,0.1255,5.0,9.0,1,Computer Programmer,Employed,True,2.0,0.0,10.0,"$50,000-74,999",1.0,35.0,VA
Current,0.0769,7.0,10.0,2,Other,Other,False,0.0,0.0,0.0,"$25,000-49,999",1.0,14.0,MO
Chargedoff,0.3034,1.0,3.0,13,Other,Not employed,False,0.0,0.0,0.0,Not employed,1.0,7.0,CA
Completed,0.1238,6.0,9.0,1,Professional,Full-time,True,0.0,0.0,1.0,"$100,000+",1.0,14.0,MD
